code,channel,decoder,parameter,mean_BER,std_BER,ci_low,ci_high,seeds,words,decode_time
goppa_derived_16_8,rayleigh_awgn,syndrome,0.0,0.86025000,0.01652177,0.83978777,0.88071223,5,100,0.0164
goppa_derived_16_8,rayleigh_awgn,syndrome,1.0,0.81150000,0.01439944,0.79366628,0.82933372,5,100,0.0194
goppa_derived_16_8,rayleigh_awgn,syndrome,2.0,0.76275000,0.01967311,0.73838483,0.78711517,5,100,0.0168
goppa_derived_16_8,rayleigh_awgn,syndrome,3.0,0.70475000,0.03356896,0.66317480,0.74632520,5,100,0.0162
goppa_derived_16_8,rayleigh_awgn,syndrome,4.0,0.61075000,0.03800288,0.56368339,0.65781661,5,100,0.0166
goppa_derived_16_8,rayleigh_awgn,syndrome,5.0,0.54200000,0.06580392,0.46050176,0.62349824,5,100,0.0159
goppa_derived_16_8,rayleigh_awgn,syndrome,6.0,0.43525000,0.05817807,0.36319639,0.50730361,5,100,0.0179
goppa_derived_16_8,rayleigh_awgn,chase,0.0,0.33575000,0.01191113,0.32099805,0.35050195,5,100,0.1515
goppa_derived_16_8,rayleigh_awgn,chase,1.0,0.26750000,0.03840573,0.21993445,0.31506555,5,100,0.1378
goppa_derived_16_8,rayleigh_awgn,chase,2.0,0.21675000,0.04698404,0.15856021,0.27493979,5,100,0.1366
goppa_derived_16_8,rayleigh_awgn,chase,3.0,0.15450000,0.02750852,0.12043066,0.18856934,5,100,0.1342
goppa_derived_16_8,rayleigh_awgn,chase,4.0,0.10900000,0.02058519,0.08350522,0.13449478,5,100,0.1401
goppa_derived_16_8,rayleigh_awgn,chase,5.0,0.07275000,0.02269705,0.04463967,0.10086033,5,100,0.1379
goppa_derived_16_8,rayleigh_awgn,chase,6.0,0.04000000,0.02080415,0.01423404,0.06576596,5,100,0.1348
goppa_derived_16_8,rayleigh_awgn,hard_mld,0.0,0.24350000,0.01762012,0.22167745,0.26532255,5,100,0.0161
goppa_derived_16_8,rayleigh_awgn,hard_mld,1.0,0.20600000,0.01951362,0.18183236,0.23016764,5,100,0.0169
goppa_derived_16_8,rayleigh_awgn,hard_mld,2.0,0.17825000,0.02024460,0.15317704,0.20332296,5,100,0.0124
goppa_derived_16_8,rayleigh_awgn,hard_mld,3.0,0.14950000,0.01890767,0.12608283,0.17291717,5,100,0.0132
goppa_derived_16_8,rayleigh_awgn,hard_mld,4.0,0.10825000,0.01760238,0.08644943,0.13005057,5,100,0.0130
goppa_derived_16_8,rayleigh_awgn,hard_mld,5.0,0.07900000,0.02039455,0.05374133,0.10425867,5,100,0.0136
