code,channel,decoder,parameter,metric,mean,std,ci_low,ci_high,seeds,words
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,miscorrection_rate,0.13400000,0.04277850,0.08101877,0.18698123,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,conditional_miscorrection_rate,0.13400000,0.04277850,0.08101877,0.18698123,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,ambiguous_rate,0.10800000,0.02863564,0.07253472,0.14346528,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,average_decoding_time_ms,0.01221860,0.00087711,0.01113230,0.01330490,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,ber,0.22325000,0.02507177,0.19219858,0.25430142,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,frame_error_rate,0.44400000,0.02190890,0.41686580,0.47113420,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,miscorrection_rate,0.44400000,0.02190890,0.41686580,0.47113420,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,conditional_miscorrection_rate,0.44400000,0.02190890,0.41686580,0.47113420,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,average_decoding_time_ms,0.00541220,0.00041588,0.00489713,0.00592727,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,ber,0.18100000,0.01584594,0.16137479,0.20062521,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,frame_error_rate,0.36800000,0.03492850,0.32474101,0.41125899,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,miscorrection_rate,0.36800000,0.03492850,0.32474101,0.41125899,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,conditional_miscorrection_rate,0.36800000,0.03492850,0.32474101,0.41125899,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,average_decoding_time_ms,0.00419980,0.00092441,0.00305492,0.00534468,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,ber,0.14250000,0.02914136,0.10640839,0.17859161,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,frame_error_rate,0.28600000,0.05856620,0.21346568,0.35853432,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,miscorrection_rate,0.28600000,0.05856620,0.21346568,0.35853432,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,conditional_miscorrection_rate,0.28600000,0.05856620,0.21346568,0.35853432,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,average_decoding_time_ms,0.00385780,0.00060526,0.00310819,0.00460741,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,ber,0.09825000,0.01874166,0.07503842,0.12146158,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,frame_error_rate,0.20200000,0.03834058,0.15451514,0.24948486,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,miscorrection_rate,0.20200000,0.03834058,0.15451514,0.24948486,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,conditional_miscorrection_rate,0.20200000,0.03834058,0.15451514,0.24948486,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,average_decoding_time_ms,0.00398640,0.00038865,0.00350506,0.00446774,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,ber,0.05025000,0.01401450,0.03289302,0.06760698,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,frame_error_rate,0.11200000,0.03033150,0.07443440,0.14956560,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,miscorrection_rate,0.11200000,0.03033150,0.07443440,0.14956560,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,conditional_miscorrection_rate,0.11200000,0.03033150,0.07443440,0.14956560,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,average_decoding_time_ms,0.00343720,0.00018570,0.00320720,0.00366720,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,ber,0.02600000,0.00657885,0.01785209,0.03414791,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,frame_error_rate,0.05800000,0.02387467,0.02843119,0.08756881,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,miscorrection_rate,0.05800000,0.02387467,0.02843119,0.08756881,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,conditional_miscorrection_rate,0.05800000,0.02387467,0.02843119,0.08756881,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,average_decoding_time_ms,0.00436420,0.00109560,0.00300730,0.00572110,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,ber,0.01275000,0.01160549,0.00000000,0.02712342,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,frame_error_rate,0.02800000,0.02280351,0.00000000,0.05624218,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,miscorrection_rate,0.02800000,0.02280351,0.00000000,0.05624218,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,conditional_miscorrection_rate,0.02800000,0.02280351,0.00000000,0.05624218,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,average_decoding_time_ms,0.00402200,0.00037556,0.00355687,0.00448713,5,100
wavelet_16_8,rayleigh,syndrome,0.0,ber,0.44275000,0.05738712,0.37167598,0.51382402,5,100
wavelet_16_8,rayleigh,syndrome,0.0,frame_error_rate,0.59000000,0.03674235,0.54449456,0.63550544,5,100
wavelet_16_8,rayleigh,syndrome,0.0,failure_rate,0.30200000,0.07949843,0.20354109,0.40045891,5,100
wavelet_16_8,rayleigh,syndrome,0.0,miscorrection_rate,0.28800000,0.05069517,0.22521397,0.35078603,5,100
wavelet_16_8,rayleigh,syndrome,0.0,conditional_miscorrection_rate,0.41070815,0.03403521,0.36855550,0.45286081,5,100
wavelet_16_8,rayleigh,syndrome,0.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh,syndrome,0.0,average_decoding_time_ms,0.01702140,0.00634743,0.00916011,0.02488269,5,100
wavelet_16_8,rayleigh,syndrome,1.0,ber,0.37575000,0.05232560,0.31094467,0.44055533,5,100
wavelet_16_8,rayleigh,syndrome,1.0,frame_error_rate,0.51200000,0.03563706,0.46786346,0.55613654,5,100
wavelet_16_8,rayleigh,syndrome,1.0,failure_rate,0.24600000,0.06949820,0.15992639,0.33207361,5,100
wavelet_16_8,rayleigh,syndrome,1.0,miscorrection_rate,0.26600000,0.04098780,0.21523655,0.31676345,5,100
wavelet_16_8,rayleigh,syndrome,1.0,conditional_miscorrection_rate,0.35149865,0.02713253,0.31789497,0.38510233,5,100
wavelet_16_8,rayleigh,syndrome,1.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh,syndrome,1.0,average_decoding_time_ms,0.02060860,0.00621958,0.01290565,0.02831155,5,100
wavelet_16_8,rayleigh,syndrome,2.0,ber,0.34325000,0.04330668,0.28961462,0.39688538,5,100
wavelet_16_8,rayleigh,syndrome,2.0,frame_error_rate,0.46800000,0.04658326,0.41030657,0.52569343,5,100
wavelet_16_8,rayleigh,syndrome,2.0,failure_rate,0.22200000,0.05263079,0.15681670,0.28718330,5,100
wavelet_16_8,rayleigh,syndrome,2.0,miscorrection_rate,0.24600000,0.03577709,0.20169003,0.29030997,5,100
wavelet_16_8,rayleigh,syndrome,2.0,conditional_miscorrection_rate,0.31611849,0.03955227,0.26713295,0.36510403,5,100
wavelet_16_8,rayleigh,syndrome,2.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
